quality,alcohol,sulphates,citric acid,volatile acidity,total sulfur dioxide,chlorides,fixed acidity
0,9.4,0.56,0.0,0.7,34.0,0.076,7.4
0,9.8,0.68,0.0,0.88,67.0,0.098,7.8
0,9.8,0.65,0.04,0.76,54.0,0.092,7.8
0,9.8,0.58,0.56,0.28,60.0,0.075,11.2
0,9.4,0.56,0.0,0.66,40.0,0.075,7.4
0,9.4,0.46,0.06,0.6,59.0,0.069,7.9
1,10.0,0.47,0.0,0.65,21.0,0.065,7.3
1,9.5,0.57,0.02,0.58,18.0,0.073,7.8
0,10.5,0.8,0.36,0.5,102.0,0.071,7.5
0,9.2,0.54,0.08,0.58,65.0,0.097,6.7
0,9.9,0.52,0.0,0.615,59.0,0.08900000000000001,5.6
0,9.1,1.56,0.29,0.61,29.0,0.114,7.8
0,9.2,0.88,0.18,0.62,145.0,0.17600000000000002,8.9
0,9.2,0.93,0.19,0.62,148.0,0.17,8.9
1,10.5,0.75,0.56,0.28,103.0,0.092,8.5
0,9.3,1.28,0.28,0.56,56.0,0.368,8.1
0,9.0,0.5,0.08,0.59,29.0,0.086,7.4
0,9.2,1.08,0.51,0.32,56.0,0.341,7.9
0,9.4,0.53,0.48,0.22,60.0,0.077,8.9
0,9.7,0.65,0.31,0.39,71.0,0.08199999999999999,7.6
0,9.5,0.91,0.21,0.43,37.0,0.106,7.9
0,9.4,0.53,0.11,0.49,67.0,0.084,8.5
0,9.7,0.63,0.14,0.4,40.0,0.085,6.9
0,9.3,0.56,0.16,0.39,23.0,0.08,6.3
0,9.5,0.59,0.24,0.41,11.0,0.08,7.6
0,9.4,0.55,0.0,0.71,35.0,0.08,7.1
0,9.8,0.59,0.0,0.645,16.0,0.08199999999999999,7.8
0,10.1,0.54,0.07,0.675,82.0,0.08900000000000001,6.7
0,10.6,0.57,0.0,0.685,37.0,0.105,6.9
0,9.8,0.66,0.12,0.655,113.0,0.083,8.3
0,9.4,0.52,0.12,0.605,83.0,0.073,6.9
0,9.2,0.55,0.25,0.32,50.0,0.103,5.2
0,9.6,0.55,0.0,0.645,18.0,0.086,7.8
